feature_set,model,n_features,train_R2_mN_m,train_MAE_mN_m,train_RMSE_mN_m,train_R2_log,train_RMSE_log,test_R2_mN_m,test_MAE_mN_m,test_RMSE_mN_m,test_R2_log,test_RMSE_log
rdkit_top12_plus_sg1,extra_trees_light,100,0.9132090114592492,0.7441871131463185,4.508977234351603,0.97739475009652,0.0738139326769737,0.9481347745333842,1.8910970227264112,3.286326852812471,0.9054313098638829,0.14578160868666198
sg1_plus_proppred,extra_trees_light,88,0.9121074191405341,0.7663007072756634,4.537502044094604,0.9788948664131842,0.07132269430065451,0.9433097500545398,1.9868546862163585,3.435791542376383,0.897643515744657,0.15166547570306083
rdkit_top12,extra_trees_light,28,0.907425538732597,0.9352551486993264,4.656786441221685,0.9670769788528865,0.0890806810277828,0.9299680619942984,2.1340056181339784,3.8187452976162666,0.8900064800615846,0.15722174116796642
