trc4mitref_55	Kurnakov, N. S. (1924) Z. Anorg. Chem. 135, 81-117.
trc4mitref_56	Parks, G. S.; Schwenk, J. R. (1924) J. Phys. Chem. 28, 720.
trc4mitref_57	Weissenberger, G.; Schuster, F.; Mayer, N. (1924) Monatsh. Chem. 45, 449.
trc4mitref_58	Kolossowsky, N. D. (1925) J. Chim. Phys. Phys.-Chim. Biol. 22, 321-4.
trc4mitref_59	Weissenberger, G.; Schuster, F.; Henke, R. (1925) Monatsh. Chem. 46, 57-60.
trc4mitref_60	Weissenberger, G.; Schuster, F.; Henke, R. (1925) Monatsh. Chem. 46, 47-56.
trc4mitref_61	Weissenberger, G.; Henke, R.; Bregmann, L. (1925) Monatsh. Chem. 46, 471.
trc4mitref_62	Lewis, J. R. (1925) J. Am. Chem. Soc. 47(3), 626-640.
trc4mitref_63	Parks, G. S.; Kelley, K. K. (1925) J. Phys. Chem. 29, 727-32.
trc4mitref_64	Chadwell, H. M. (1926) J. Am. Chem. Soc. 48, 1912-1925.
trc4mitref_65	Dessart, A. (1926) Bull. Soc. Chim. Belg. 35, 9.
trc4mitref_66	Faust, O. (1926) Z. Anorg. Allg. Chem. 154, 61.
trc4mitref_67	Faust, O. (1927) Z. Anorg. Allg. Chem. 160, 373-376.
trc4mitref_68	Parks, G. S.; Chaffee, C. S. (1927) J. Phys. Chem. 31, 439-47.
trc4mitref_69	Swearingen, L. E. (1928) J. Phys. Chem. 32, 1346-1353.
trc4mitref_70	Pushin, N. A.; Pinter, T. (1929) Z. Phys. Chem. Abt. A 142, 211-26.
trc4mitref_71	Trifonov, N. A.; Samarina, K. I. (1929) Izv. Biol. Nauch.-Issl. Inst. Perm. Gosud. Univ. 6, 291-300.
trc4mitref_72	Elgort, M. S. (1929) Zh. Fiz. Khim. 61, 947-959.
trc4mitref_73	Hammick, D. L.; Andrew, L. W. (1929) J. Chem. Soc. 754.
trc4mitref_74	Springer, R.; Roth, H. (1930) Monatsh. Chem. 56, 1-15.
trc4mitref_75	Chadwell, H.M.; Asnes, B. (1930) J. Am. Chem. Soc. 52(9), 3493-3507.
trc4mitref_76	Gans, D. M.; Harkins, W. D. (1930) J. Am. Chem. Soc. 52, 2289-2295.
trc4mitref_77	Pushin, N. A.; Pinter, T. (1930) Z. Phys. Chem. Abt. A 151, 135.
trc4mitref_78	Buehler, C. A.; Wood, J. H.; Hull, D. C.; Erwin, E. C. (1932) J. Am. Chem. Soc. 54, 2398-2405.
trc4mitref_79	Ernst, R. C.; Litkenhous, E. E.; Spanyer, J. W. (1932) J. Phys. Chem. 36, 842.
trc4mitref_80	Pisarev, A. G. (1932) Zh. Obshch. Khim. 2, 875-877.
trc4mitref_81	Locket, G. H. (1932) J. Chem. Soc. 1501-1512.
trc4mitref_82	Sheely, M. L. (1932) Ind. Eng. Chem. 24, 1060-1064.
trc4mitref_83	Terpugov, F. I. (1932) Zh. Obshch. Khim. 2, 868-874.
trc4mitref_84	DeWitt, C. C.; Makens, R. F. (1932) J. Am. Chem. Soc. 54, 455-464.
trc4mitref_85	Howell, O. R. (1932) Trans. Faraday Soc. 28, 912.
trc4mitref_86	Trew, V. C. G. (1932) Trans. Faraday Soc. 28, 509-14.
trc4mitref_87	Trew, V. C. G.; Watkins, G. M. C. (1933) Trans. Faraday Soc. 29, 1310.
trc4mitref_88	Macfarlane, W.; Wright, R. (1933) J. Chem. Soc. 114-118.
trc4mitref_89	Geddes, J. A. (1933) J. Am. Chem. Soc. 55, 4832-4837.
trc4mitref_90	Zavarikhina, R. A. (1934) Zh. Obshch. Khim. 4, 227-228.
trc4mitref_91	Sutton, T. C.; Harden, H. L. (1934) J. Phys. Chem. 38, 779-781.
trc4mitref_92	Shul'gina, M. P. (1934) Zh. Obshch. Khim. 4, 225-226.
trc4mitref_93	Swearingen, L. E.; Heck, L. B. (1934) J. Phys. Chem. 38, 395.
trc4mitref_94	Usanovich, M.; Koz'mina, G.; Tartakovskaya, V. (1935) Zh. Obshch. Khim. 5, 701-708.
trc4mitref_95	Trieschmann, H. G. (1935) Z. Phys. Chem. Abt. B 29, 328.
trc4mitref_96	Wellm, J. (1935) Z. Phys. Chem. Abt. B 28, 119.
trc4mitref_97	Mertslin, R. V. (1935) Zh. Obshch. Khim. 5, 886-891.
trc4mitref_98	Bury, C. R.; Grindley, J. (1936) J. Chem. Soc. 1003.
trc4mitref_99	Ernst, R. C.; Watkins, C. H.; Ruwe, H. H. (1936) J. Phys. Chem. 40, 627.
trc4mitref_100	Kireev, V. A.; Skvortsova, A. A. (1936) Zh. Fiz. Khim. 7, 63-70.
trc4mitref_101	Bratton, A. C. ,. J.; Felsing, W. A. (1936) Ind. Eng. Chem. 28(4), 424-430.
trc4mitref_102	Spells, K. E. (1936) Trans. Faraday Soc. 32, 530-40.
trc4mitref_103	Belton, J. W. (1936) Trans. Faraday Soc. 32, 1717-1721.
trc4mitref_104	Kurnakov, N. S.; Voskresenskaya, N. K. (1937) Izv. Akad. Nauk Az. SSR 4, 797-822.
trc4mitref_105	Tikhomirova, A. M.; Efremov, N. N. (1937) Bull. Acad. Sci. U.R.S.S., Cl. Sci. Math. Nat., Ser. Chim. 157-70.
trc4mitref_106	Soucek, B. (1938) Collect. Czech. Chem. Commun. 10, 459-465.
trc4mitref_107	Kurnakov, N.S; Voskresenskaya, N.K.; Gurovich, G.D. (1938) Izv. Akad. Nauk SSSR 2, 391-401.
trc4mitref_108	Klochko, M. A.; Chanukvadze, O. P. (1938) Bull. Acad. Sci. USSR Div. Chem. Sci. (Engl. Transl.) 987.
trc4mitref_109	Hopkins, R. N.; Yerger, E. S.; Lynch, C. C. (1939) J. Am. Chem. Soc. 61(9), 2460-2461.
trc4mitref_110	Belton, J. W. (1939) Trans. Faraday Soc. 35, 1293-1298.
trc4mitref_111	Udovenko, V. V. (1939) Zh. Obshch. Khim. 9, 1512-1514.
trc4mitref_112	Salceanu, C. B.; McCormick, H. (1939) Compt. Rend. Congr. Ind. Gaz 208, 1989-1991.
trc4mitref_113	Udovenko, V. V. (1939) Zh. Obshch. Khim. 9, 1162-1166.
trc4mitref_114	Udovenko, V. V.; Airapetova, R. P. (1939) Zh. Obshch. Khim. 9, 1796-1800.
trc4mitref_115	Udovenko, V. V.; Sichkova, E. V.; Toropov, A. P. (1939) Zh. Obshch. Khim. 9, 2048-2054.
trc4mitref_116	Huckel, W.; Datow, J.; Simmersbach, E. (1940) Z. Phys. Chem. Abt. A 186, 129.
trc4mitref_117	Baker, N. B.; Gilbert, E. C. (1940) J. Am. Chem. Soc. 62, 2479-2480.
trc4mitref_118	Belton, J. W.; Twidle, A. H. H. (1940) Trans. Faraday Soc. 36, 1198-1208.
trc4mitref_119	Belton, J. W. (1940) Trans. Faraday Soc. 36, 493-496.
trc4mitref_120	Friedman, H. B.; Barnard, A.; Doe, W. B.; Fox, C. L. (1940) J. Am. Chem. Soc. 62, 2366-2367.
trc4mitref_121	Udovenko, V. V. (1940) Zh. Obshch. Khim. 10, 1923-1925.
trc4mitref_122	Bonnell, W. S.; Byman, L.; Keyes, D. B. (1940) Ind. Eng. Chem. 32, 532.
trc4mitref_123	Litkenhous, E. E.; Van Arsdale, J. D.; Hutchison, I. W. (1940) J. Phys. Chem. 44, 377-388.
trc4mitref_124	Parks, W. G.; Lebaron, I. M.; Molloy, E. W. (1941) J. Am. Chem. Soc. 63(12), 3331-3336.
trc4mitref_125	Linke, R. (1941) Z. Phys. Chem. Abt. A 188, 17.
trc4mitref_126	Dietz, A. A.; Degering, E. F.; Schopmeyer, H. H. (1941) Ind. Eng. Chem. 33, 1444-1447.
trc4mitref_127	Linke, R. (1941) Z. Phys. Chem. Abt. A 188, 191.
trc4mitref_128	Amis, E. S.; Choppin, A. R.; Padgitt, F. L. (1942) J. Am. Chem. Soc. 64(5), 1207-1212.
trc4mitref_129	Irany, E. P. (1943) J. Am. Chem. Soc. 65(7), 1392-1398.
trc4mitref_130	Huckel, W.; Wenzke, U. (1944) Z. Phys. Chem. (Leipzig) 193, 132-61.
trc4mitref_131	Addison, C. C. (1945) J. Chem. Soc. 98-106.
trc4mitref_132	Bhagwat, W. V.; Mandloi, K. (1946) J. Indian Chem. Soc. 23, 349-352.
trc4mitref_133	Udovenko, V. V.; Yarenko, G. G. (1946) Zh. Obshch. Khim. 16, 17.
trc4mitref_134	Addison, C. C. (1946) J. Chem. Soc. 579-585.
trc4mitref_135	Glagoleva, A. A. (1946) Zh. Obshch. Khim. 16, 21-26.
trc4mitref_136	Treybal, R. E.; Weber, L. D.; Daley, J. F. (1946) Ind. Eng. Chem. 38, 817.
trc4mitref_137	Wilcock, D. F. (1946) J. Am. Chem. Soc. 68(4), 691-696.
trc4mitref_138	Clendenning, K. A. (1946) Can. J. Res. F 24, 249.
trc4mitref_139	Teitel'baum, B. Ya.; Trifonov, N. A.; Khachatur'yan, V. R. (1947) Zh. Fiz. Khim. 21, 503.
trc4mitref_140	Udovenko, V. V.; Airapetova, R. P. (1947) Zh. Obshch. Khim. 17, 665-8.
trc4mitref_141	Glagoleva, A. A. (1947) Zh. Obshch. Khim. 17, 1044-1047.
trc4mitref_142	Leibush, A. G.; Shorina, E. D. (1947) Zh. Prikl. Khim. 20, 69-76.
trc4mitref_143	Usanovich, M.; Sumarokova, T. (1947) Zh. Obshch. Khim. 17, 1415-1421.
trc4mitref_144	Ralston, A. W.; Hoerr, C. W. (1947) J. Am. Chem. Soc. 69(8), 1867-1869.
trc4mitref_145	Udovenko, V. V.; Airapetova, R. P. (1947) Zh. Obshch. Khim. 17, 425.
trc4mitref_146	Chatterji, A. C.; Bose, A. N. (1948) J. Indian Chem. Soc. 25, 39-42.
trc4mitref_147	Bose, A. N. (1948) J. Indian Chem. Soc. 25, 33-38.
trc4mitref_148	Jones, W. J.; Bowden, S. T.; Yarnold, W. W.; Jones, W. H. (1948) J. Phys. Colloid Chem. 52, 753.
trc4mitref_149	Chatterji, A. C.; Bose, A. N. (1948) J. Indian Chem. Soc. 25, 91-95.
trc4mitref_150	Subnis, S. W.; Bhagwat, W. V.; Kanugo, R. B. (1948) J. Indian Chem. Soc. 25, 575-578.
trc4mitref_151	Udovenko, V. V.; Kalabanovskaya, E. I.; Prokop'eva, M. F. (1949) Zh. Obshch. Khim. 19, 165-8.
trc4mitref_152	Babak, S. F. (1949) J. Gen. Chem. USSR (Engl. Transl.) 19, 1610-1614.
trc4mitref_153	Trevoy, D. J.; Drickamer, H. G. (1949) J. Chem. Phys. 17, 582-583.
trc4mitref_154	Sabnis, M. V.; Bhagwat, W. V.; Silawat, H. G. (1949) J. Indian Chem. Soc. 26, 533-538.
trc4mitref_155	Pavlov, P. N. (1949) Trudy OGU (Odesskogo Universiteta), Pg. 5-42, OGU: Odessa UA.
trc4mitref_156	Bose, A. N. (1949) J. Indian Chem. Soc. 26, 67-70.
trc4mitref_157	Hudlicky, M. (1949) Collect. Czech. Chem. Commun. 14, 564-568.
trc4mitref_158	Bose, A. N. (1949) J. Indian Chem. Soc. 26, 78-80.
trc4mitref_159	Babak, S. F. (1949) Zh. Obshch. Khim. 19, 1604.
trc4mitref_160	Volyak, L. D. (1950) Kolloidn. Zh. 12, 248-251.
trc4mitref_161	Teitel'baum, B. Ya.; Gortalova, T. A.; Ganelina, S. G. (1950) Zh. Obshch. Khim. 20, 1422.
trc4mitref_162	Silawat, H. G.; Sabnis, M. V.; Bhagwat, W. V. (1950) J. Indian Chem. Soc. 27, 345-348.
trc4mitref_163	Sadek, H.; Fuoss, R. M. (1950) J. Am. Chem. Soc. 72(1), 301-306.
trc4mitref_164	Babak, S. F.; Udovenko, V. V. (1950) Zh. Obshch. Khim. 20, 2124-6.
trc4mitref_165	Babak, S. F.; Udovenko, V. V. (1950) Zh. Obshch. Khim. 20, 1568-1571.
trc4mitref_166	Stahlberger, B.; Guyer, A. (1950) Helv. Chim. Acta 33, 243-249.
trc4mitref_167	Kopylov, N. I. (1950) Zh. Fiz. Khim. 24, 1128-1134.
trc4mitref_168	Vierk, A.-L (1950) Z. Anorg. Chem. 261(5-6), 283-296.
trc4mitref_169	Segur, J. B.; Oberstar, H. E. (1951) Ind. Eng. Chem. 43, 2117-20.
trc4mitref_170	Pugachevich, N. N. (1951) Zh. Fiz. Khim. 25(11), 1365-1373.
trc4mitref_171	Rench, P. W.; Taft, R. (1951) Ind. Eng. Chem. 43(10), 2376-2384.
trc4mitref_172	Usanovich, M. I.; Sumarokova, T. (1951) Zh. Obshch. Khim. 21, 1214-218.
trc4mitref_173	Jones, D. C.; Saunders, L. (1951) J. Chem. Soc. 2944.
trc4mitref_174	Osipov, O. A.; Trifonov, N. A. (1951) Zh. Obshch. Khim. 21, 817-823.
