##############################################################################################
#
# This is a research data set extracted from NIST Standard Reference Database 103b.
#
# The following Copyright applies:
# Copyright protection on this compilation of data has been secured by the Secretary of the 
# U.S. Department of Commerce on behalf of the United States in the United States and all 
# countries that are parties to the Universal Copyright Convention, pursuant to Section 
# 290(e) of Title 15 of the United States Code.
#
# NIST Standard Reference Data (SRD)
# ©Copyright 2022 by the U.S. Secretary of Commerce on behalf of the United States of America. 
# All rights reserved.
##############################################################################################
# The columns are TAB-DELIMITED.
# The order of columns below is as follows:
#
# ID of compound 1
# ID of compound 2
# mole fraction of compound 1
# temperature (K)
# surface tension (N/m)
# surface tension uncertainty (N/m)
# reference ID
# 
# The compound and reference IDs are defined in the accompanying files,
# compounds.sdf and refs.dat, respectively.
#
##############################################################################################
trc4mit_514	trc4mit_585	0.9248	303.15	0.02737	0.00051	trc4mitref_3321
trc4mit_514	trc4mit_585	0.0984	308.15	0.02531	0.00048	trc4mitref_3321
trc4mit_514	trc4mit_585	0.1549	308.15	0.02539	0.00048	trc4mitref_3321
trc4mit_514	trc4mit_585	0.2314	308.15	0.02551	0.00049	trc4mitref_3321
trc4mit_514	trc4mit_585	0.3045	308.15	0.02563	0.00049	trc4mitref_3321
trc4mit_514	trc4mit_585	0.3817	308.15	0.02575	0.00049	trc4mitref_3321
trc4mit_514	trc4mit_585	0.4608	308.15	0.02588	0.00049	trc4mitref_3321
trc4mit_514	trc4mit_585	0.5333	308.15	0.026	0.00049	trc4mitref_3321
trc4mit_514	trc4mit_585	0.6212	308.15	0.02615	0.00049	trc4mitref_3321
trc4mit_514	trc4mit_585	0.6892	308.15	0.02627	0.0005	trc4mitref_3321
trc4mit_514	trc4mit_585	0.7575	308.15	0.02639	0.0005	trc4mitref_3321
trc4mit_514	trc4mit_585	0.8493	308.15	0.02657	0.0005	trc4mitref_3321
trc4mit_514	trc4mit_585	0.9248	308.15	0.02672	0.0005	trc4mitref_3321
trc4mit_514	trc4mit_585	0.0984	313.15	0.02479	0.00048	trc4mitref_3321
trc4mit_514	trc4mit_585	0.1549	313.15	0.02487	0.00048	trc4mitref_3321
trc4mit_514	trc4mit_585	0.2314	313.15	0.02498	0.00048	trc4mitref_3321
trc4mit_514	trc4mit_585	0.3045	313.15	0.02508	0.00048	trc4mitref_3321
trc4mit_514	trc4mit_585	0.3817	313.15	0.02519	0.00048	trc4mitref_3321
trc4mit_514	trc4mit_585	0.4608	313.15	0.02531	0.00048	trc4mitref_3321
trc4mit_514	trc4mit_585	0.5333	313.15	0.02542	0.00048	trc4mitref_3321
trc4mit_514	trc4mit_585	0.6212	313.15	0.02555	0.00048	trc4mitref_3321
trc4mit_514	trc4mit_585	0.6892	313.15	0.02566	0.00049	trc4mitref_3321
trc4mit_514	trc4mit_585	0.7575	313.15	0.02578	0.00049	trc4mitref_3321
trc4mit_514	trc4mit_585	0.8493	313.15	0.02594	0.00049	trc4mitref_3321
trc4mit_514	trc4mit_585	0.9248	313.15	0.02608	0.00049	trc4mitref_3321
trc4mit_514	trc4mit_585	0.0984	318.15	0.02429	0.00047	trc4mitref_3321
trc4mit_514	trc4mit_585	0.1549	318.15	0.02436	0.00047	trc4mitref_3321
trc4mit_514	trc4mit_585	0.2314	318.15	0.02445	0.00047	trc4mitref_3321
trc4mit_514	trc4mit_585	0.3045	318.15	0.02454	0.00047	trc4mitref_3321
